filename,bwv_number,title
004006b_.xml,40.6,Schwing dich auf zu deinem Gott
004008b_.xml,40.8,Freuet euch ihr Christen alle
004106b_.xml,41.6,Jesu nun sei gepreiset
004207b_.xml,42.7,Verleih uns Frieden gnädiglich (beginning)
004207b_.xml,42.7,Gib unsern Fürsten und aller Obrigkeit (ending)
004311b_.xml,43.11,Ermuntre dich mein schwacher Geist
004407b_.xml,44.7,O Welt ich muß dich lassen
004507b_.xml,45.7,Die Wollust dieser Welt
004606bs.xml,46.6,O großer Gott von Macht
004705b_.xml,47.5,Warum betrübst du dich mein Herz
004803b_.xml,48.3,Ach Gott und Herr wie groß und schwer
004807b_.xml,48.7,Wenn mein Stündlein vorhanden ist 2
005206b_.xml,52.6,In dich hab ich gehoffet Herr 1
005505b_.xml,55.5,Werde munter mein Gemüte
005605b_.xml,56.5,Du geballtes Weltgebäude
005708b_.xml,57.8,Hast du denn Liebster dein Angesicht gänzlich verborgen
005903b_.xml,59.3,Komm heiliger Geist Herre Gott
006005b_.xml,60.5,Es ist genug
006206b_.xml,62.6,Nun komm der Heiden Heiland
006402b_.xml,64.2,Gelobet seist du Jesu Christ
006404b_.xml,64.4,Die Wollust dieser Welt
006408b_.xml,64.8,Jesu meine Freude
006502b_.xml,65.2,Puer natus in Bethlehem
006507b_.xml,65.7,Was mein Gott will das g'scheh allzeit
006606b_.xml,66.6,Christ ist erstanden
006704b_.xml,67.4,Am Sabbat früh Marien drei 2
006707b_.xml,67.7,Du Friedefürst Herr Jesu Christ
006906b_.xml,69.6,Es woll uns Gott genädig sein 2
006906ba.xml,69,Was Gott tut das ist wohlgetan
007007b_.xml,70.07,Wie nach einer Wasserquelle
007011b_.xml,70.11,Meinen Jesum laß ich nicht weil er sich für mich gegeben
007206b_.xml,72.6,Was mein Gott will das g'scheh allzeit
007305b_.xml,73.5,Von Gott will ich nicht lassen
007408b_.xml,74.8,Kommt her zu mir spricht Gottes Söhn
007706b_.xml,77.6,Ach Gott vom Himmel sieh' darein
007807b_.xml,78.7,Wachet doch erwacht ihr Schläfer
007903b_.xml,79.3,Nun danket alle Gott
007906b_.xml,79.6,Nun laßt uns Gott dem Herren
008008b_.xml,80.8,Ein feste Burg ist unser Gott
008107b_.xml,81.7,Jesu meine Freude
008305b_.xml,83.5,Mit Fried und Freud ich fahr dahin
008405b_.xml,84.5,Wer nur den lieben Gott läßt walten
008506b_.xml,85.6,Ist Gott mein Schild und Helfersmann
008606b_.xml,86.6,Es ist das Heil uns kommen her
008707b_.xml,87.7,Jesu meine Freude
008807b_.xml,88.7,Wer nur den lieben Gott läßt walten
008906b_.xml,89.6,Auf meinen lieben Gott
009005b_.xml,90.5,Vater unser im Himmelreich
009106b_.xml,91.6,Gelobet seist du Jesu Christ
009209b_.xml,92.9,Was mein Gott will das g'scheh allzeit
009307b_.xml,93.7,Wer nur den lieben Gott läßt walten
009408b_.xml,94.8,Die Wollust dieser Welt
009507b_.xml,95.7,Wenn mein Stündlein vorhanden ist 1
009606b_.xml,96.6,Herr Christ der einge Gottes-Söhn
009709b_.xml,97.9,O Welt ich muß dich lassen
009906b_.xml,99.6,Was Gott tut das ist wohlgetan
010107b_.xml,101.7,Vater unser im Himmelreich
010207b_.xml,102.7,Vater unser im Himmelreich
010306b_.xml,103.6,Was mein Gott will das g'scheh allzeit
010306b_.xml,103.6,Was mein Gott will das g'scheh allzeit
010406b_.xml,104.6,Allein Gott in der Höh sei Ehr
010506b_.xml,105.6,Wachet doch erwacht ihr Schläfer
010806b_.xml,108.6,Kommt her zu mir spricht Gottes Söhn
011007b_.xml,110.7,Wir Christenleut
011106b_.xml,111.6,Was mein Gott will das g'scheh allzeit
011205b_.xml,112.5,Allein Gott in der Höh sei Ehr
011308b_.xml,113.8,Wenn mein Stündlein vorhanden ist 2
011407b_.xml,114.7,Wo Gott der Herr nicht bei uns hält
011506b_.xml,115.6,Straf' mich nicht in deinem Zorn
011606b_.xml,116.6,Du Friedefürst Herr Jesu Christ
011704b_.xml,117.4,Es ist das Heil uns kommen her
011909b_.xml,119.9,Herr Gott dich loben wir Herr Gott wir danken dir
012006b_.xml,120.6,Herr Gott dich loben wir Herr Gott wir danken dir
012008ba.xml,120,Hast du denn Liebster dein Angesicht gänzlich verborgen
012106b_.xml,121.6,Christum wir sollen loben schon
012206b_.xml,122.6,Das neugeborne Kindelein
012206b_.xml,122.6,Das neugeborne Kindelein
012306b_.xml,123.6,Liebster Immanuel Herzog der Frommen
012406b_.xml,124.6,Meinen Jesum laß ich nicht weil er sich für mich gegeben
012506b_.xml,125.6,Mit Fried und Freud ich fahr dahin
012606b_.xml,126.6,Verleih uns Frieden gnädiglich (beginning)
012606b_.xml,126.6,Gib unsern Fürsten und aller Obrigkeit (ending)
012705b_.xml,127.5,Wenn einer schon ein Haus aufbaut
012805b_.xml,128.5,Die Wollust dieser Welt
013006b_.xml,130.6,Ihr Knecht des Herren allzugleich
013306b_.xml,133.6,O stilles Gotteslamm
013506b_.xml,135.6,Herzlich tut mich verlangen
013606b_.xml,136.6,Auf meinen lieben Gott
013705b_.xml,137.5,Hast du denn Liebster dein Angesicht gänzlich verborgen
013906b_.xml,139.6,Mach's mit mir Gott nach deiner Güt
014007b_.xml,140.7,Wachet auf ruft uns die Stimme
014403b_.xml,144.3,Was Gott tut das ist wohlgetan
014406b_.xml,144.6,Was mein Gott will das g'scheh allzeit
014500ba.xml,145,Jesus meine Zuversicht
014505b_.xml,145.5,Am Sabbat früh Marien drei 2
014608b_.xml,146.8,Werde munter mein Gemüte
014806b_.xml,148.6,Auf meinen lieben Gott
014907b_.xml,149.7,Herzlich lieb hab ich dich o Herr
015105b_.xml,151.5,Kommt her ihr lieben Schwesterlein
015301b_.xml,153.1,Ach Gott vom Himmel sieh' darein
015305b_.xml,153.5,Herzlich tut mich verlangen
015309b_.xml,153.9,Herr Jesu Christ meins Lebens Licht
015403b_.xml,154.3,Werde munter mein Gemüte
015408b_.xml,154.8,Meinen Jesum laß ich nicht weil er sich für mich gegeben
015505b_.xml,155.5,Es ist das Heil uns kommen her
015606b_.xml,156.6,Aus tiefer Not schrei ich zu dir 2
015705b_.xml,157.5,Meinen Jesum laß ich nicht weil er sich für mich gegeben
015804b_.xml,158.4,Christ lag in Todesbanden
015905b_.xml,159.5,Jesu Kreuz Leiden und Pein
016106b_.xml,161.6,Herzlich tut mich verlangen
016206blpz.xml,162.6,Alle Menschen müssen sterben 2
016406b_.xml,164.6,Herr Christ der einge Gottes-Söhn
016506b_.xml,165.6,Nun laßt uns Gott dem Herren
016606b_.xml,166.6,Wer nur den lieben Gott läßt walten
016806b_.xml,168.6,Wenn mein Stündlein vorhanden ist 2
016907b_.xml,169.7,Nun bitten wir den heiligen Geist
017106b_.xml,171.6,Jesu nun sei gepreiset
017206b_.xml,172.6,Wie schön leuchtet der Morgenstern
017206ch.xml,172.6,Wie schön leuchtet der Morgenstern
017206vn.xml,172.6,Wie schön leuchtet der Morgenstern
017405b_.xml,174.5,Herzlich lieb hab ich dich o Herr
017507b_.xml,175.7,Komm heiliger Geist Herre Gott
017507ch.xml,175.7,Komm heiliger Geist Herre Gott
017606b_.xml,176.6,Es woll uns Gott genädig sein 1
017705b_.xml,177.5,Ich ruf zu dir Herr Jesu Christ
017807b_.xml,178.7,Wo Gott der Herr nicht bei uns hält
017906b_.xml,179.6,Wer nur den lieben Gott läßt walten
018007b_.xml,180.7,Schmücke dich o liebe Seele
018305b_.xml,183.5,Helft mir Gotts Güte preisen
018405b_.xml,184.5,O Herre Gott dein göttlich Wort
018506b_.xml,185.6,Ich ruf zu dir Herr Jesu Christ
018707b_.xml,187.7,Da Christus geboren war
018806b_.xml,188.6,Auf meinen lieben Gott
019007b_.xml,190.7,Jesu nun sei gepreiset
019406b_.xml,194.06,Wie nach einer Wasserquelle
019412b_.xml,194.12,Nun laßt uns Gott dem Herren
019412b_.xml,194.12,Nun laßt uns Gott dem Herren
019506b_.xml,195.6,Kommt her ihr lieben Schwesterlein
019705b_.xml,197.05,Nun bitten wir den heiligen Geist
019707ba.xml,197,Die Wollust dieser Welt
019710b_.xml,197.1,Wer nur den lieben Gott läßt walten
022602b_.xml,226.2,Komm heiliger Geist Herre Gott
022701b_.xml,227.01,Jesu meine Freude
022703b_.xml,227.03,Jesu meine Freude
022707b_.xml,227.07,Jesu meine Freude
022711b_.xml,227.11,Jesu meine Freude
022902b_.xml,229.2,Drum schließ ich mich in deine Hände
024403b_.xml,244.03,Herzliebster Jesu was hast du verbrochen
024410b_.xml,244.1,O Welt ich muß dich lassen
024415b_.xml,244.15,Herzlich tut mich verlangen
024417b_.xml,244.17,Herzlich tut mich verlangen
024425b_.xml,244.25,Was mein Gott will das g'scheh allzeit
024429ba.xml,244,Meinen Jesum laß ich nicht weil er sich für mich gegeben
024432b_.xml,244.32,In dich hab ich gehoffet Herr 1
024437b_.xml,244.37,O Welt ich muß dich lassen
024440b_.xml,244.4,Werde munter mein Gemüte
024444b_.xml,244.44,Herzlich tut mich verlangen
024446b_.xml,244.46,Herzliebster Jesu was hast du verbrochen
024454b_.xml,244.54,Herzlich tut mich verlangen
024462b_.xml,244.62,Herzlich tut mich verlangen
024503b_.xml,245.03,Herzliebster Jesu was hast du verbrochen
024505b_.xml,245.05,Vater unser im Himmelreich
024511b_.xml,245.11,O Welt ich muß dich lassen
024514b_.xml,245.14,Jesu Kreuz Leiden und Pein
024515b_.xml,245.15,Christus der uns selig macht
024517b_.xml,245.17,Herzliebster Jesu was hast du verbrochen
024522b_.xml,245.22,Mach's mit mir Gott nach deiner Güt
024526b_.xml,245.26,Valet will ich dir geben
024528b_.xml,245.28,Jesu Kreuz Leiden und Pein
024537b_.xml,245.37,Christus der uns selig macht
024540b_.xml,245.4,Herzlich lieb hab ich dich o Herr
024805b1.xml,248(1)05,Herzlich tut mich verlangen
024809b1.xml,248(1)09,Vom Himmel hoch da komm ich her
024812b2.xml,248(2)12,Ermuntre dich mein schwacher Geist
024817b2.xml,248(2)17,Vom Himmel hoch da komm ich her
024823bs.xml,248(2)23s,Vom Himmel hoch da komm ich her
024828b3.xml,248(3)28,Gelobet seist du Jesu Christ
024833b3.xml,248(3)33,Warum sollt ich mich denn grämen
024835b3.xml,248(3)35,Wir Christenleut
024842bs.xml,248(4)42s,Hilf Herr Jesu laß gelingen 2
024846b5.xml,248(5)46,In dich hab ich gehoffet Herr 1
024853b5.xml,248(5)53,Gott des Himmels und der Erden
024859b6.xml,248(5)59,Nun freut euch lieben Christen g'mein 2
025000b_.xml,250,Was Gott tut das ist wohlgetan
025100b_.xml,251,Es ist das Heil uns kommen Her
025200b_.xml,252,Nun danket alle Gott
025300b_.xml,253,Danket dem Herrn heut und allzeit
025400b_.xml,254,Ach Gott erhör mein Seufzen und Wehklagen
025500b_.xml,255,Ach Gott und Herr wie groß und schwer
025600b_.xml,256,Wo Gott der Herr nicht bei uns hält
025700b_.xml,257,Wo Gott der Herr nicht bei uns hält
025800b_.xml,258,Wo Gott der Herr nicht bei uns hält
025900b_.xml,259,Ach was soll ich Sünder machen
026000b_.xml,260,Allein Gott in der Höh sei Ehr
026100b_.xml,261,Allein zu dir Herr Jesu Christ
026200b_.xml,262,Alle Menschen müssen sterben 1
026300b_.xml,263,Alles ist an Gottes Segen
026400b_.xml,264,Als der gütige Gott vollenden wollt sein Wort
026500b_.xml,265,Als Jesus Christus in der Nacht
026600b_.xml,266,Am Sabbat früh Marien drei 1
026700b_.xml,267,An Wasserflüssen Babylon
026700ba.xml,267,An Wasserflüssen Babylon
026800b_.xml,268,Auf auf mein Herz und du mein ganzer Sinn
026900b_.xml,269,Aus meines Herzens Grunde
027000b_.xml,270,Herzlich tut mich verlangen
027100b_.xml,271,Herzlich tut mich verlangen
027200b_.xml,272,Lobet Gott unsern Herren
027300b_.xml,273,Christ der du bist der helle Tag
027400b_.xml,274,Christe der du bist Tag und Licht
027500b_.xml,275,Christe du Beistand deiner Kreuz-gemeine
027600b_.xml,276,Christ ist erstanden
027700b_.xml,277,Christ lag in Todesbanden
027800b_.xml,278,Christ lag in Todesbanden
027900b_.xml,279,Christ lag in Todesbanden
028000b_.xml,280,Es woll uns Gott genädig sein 1
028100b_.xml,281,Christus der ist mein Leben
028200b_.xml,282,Christus der ist mein Leben
028300b_.xml,283,Christus der uns selig macht
028300b_.xml,283,Christus der uns selig macht
028400b_.xml,284,Christus ist erstanden hat überwunden
028500b_.xml,285,Da der Herr Christ zu Tische saß
028600b_.xml,286,Vitam quae faciunt
028700b_.xml,287,Jesus Christ unser Herre
028800b_.xml,288,Das alte Jahr vergangen ist
028900b_.xml,289,Das alte Jahr vergangen ist
029000b_.xml,290,Das walt Gott Vater und Gott Sohn
029100b_.xml,291,Das walt' mein Gott Vater Sohn und heiliger Geist
029200b_.xml,292,Den Vater dort oben
029300b_.xml,293,Der du bist drei in Einigkeit
029400b_.xml,294,Der Tag der ist so freudenreich
029500b_.xml,295,Spiritus sancti gratia
029600b_.xml,296,Die Nacht ist kommen drin wir ruhen sollen
029700b_.xml,297,O höchster Gott o unser lieber Herre
029800b_.xml,298,Dies sind die heiligen zehn Gebot
029900b_.xml,299,Dir dir Jehova will ich singen
030000b_.xml,300,Du großer Schmerzensmann vom Vater so geschlagen
030100b_.xml,301,Du geballtes Weltgebäude
030200b_.xml,302,Ein feste Burg ist unser Gott
030300b_.xml,303,Ein feste Burg ist unser Gott
030400b_.xml,304,Eins ist not ach Herr dies eine
030500b_.xml,305,Erbarm dich mein o Herre Gott
030600b_.xml,306,Erstanden ist der heilig Christ
030700b_.xml,307,Nun freut euch lieben Christen g'mein 2
030800b_.xml,308,Es spricht der Unweisen Mund
030900b_.xml,309,Es stehn vor Gottes Throne
031000b_.xml,310,Es wird schier der letzte Tag herkommen
031100b_.xml,311,Es woll uns Gott genädig sein 2
031200b_.xml,312,Es woll uns Gott genädig sein 2
031300b_.xml,313,Für Freuden laßt uns springen
031400b_.xml,314,Gelobet seist du Jesu Christ
031500b_.xml,315,Gib dich zufrieden und sei stille
031600b_.xml,316,Gott der du selber bist das Licht
031700b_.xml,317,Gott der Vater wohn uns bei
031800b_.xml,318,Menschenkind merk eben
031900b_.xml,319,Gott hat das Evangelium
032000b_.xml,320,Gott lebet noch Seele was verzagst du doch?
032100b_.xml,321,Gottlob es geht nunmehr zu Ende
032200b_.xml,322,Gott sei gelobet und gebenedeiet
032300b_.xml,323,Meine Seele erhebet den Herren
032400b_.xml,324,Meine Seele erhebet den Herren
032500b_.xml,325,Heilig heilig heilig
032500b_.xml,325,Heilig heilig heilig
032600b_.xml,326,Herr Gott dich loben alle wir
032700b_.xml,327,Herr Gott dich loben alle wir
032800b_.xml,328,Herr Gott dich loben wir Herr Gott wir danken dir
032900b_.xml,329,Lob sei dir gütiger Gott
033000b_.xml,330,Herr ich habe mißgehandelt
033100b_.xml,331,Herr ich habe mißgehandelt
033200b_.xml,332,Herr Jesu Christ dich zu uns wend
033300b_.xml,333,Herr Jesu Christ du hast bereit
033400b_.xml,334,Wenn mein Stündlein vorhanden ist 2
033500b_.xml,335,Rex Christe factor omnium
033600b_.xml,336,Herr Jesu Christ wahr' Mensch und Gott
033700b_.xml,337,Herr nun laß in Frieden
033800b_.xml,338,Herr straf mich nicht in deinem Zorn
033900b_.xml,339,Aus tiefer Not schrei ich zu dir 2
033900b_.xml,339,Aus tiefer Not schrei ich zu dir 2
034000b_.xml,340,Herzlich lieb hab ich dich o Herr
034100b_.xml,341,Heut ist o Mensch ein großer Trauertag
034200b_.xml,342,Heut' triumphieret Gottes Sohn
034300b_.xml,343,Hilf Gott laß mirs gelingen
034300b_.xml,343,Hilf Gott laß mirs gelingen
034400b_.xml,344,Hilf Herr Jesu laß gelingen 1
034500b_.xml,345,Ich bin ja Herr in deiner Macht
034600b_.xml,346,Ich dank dir Gott für alle Wohltat
034700b_.xml,347,Ich dank dir lieber Herre
034800b_.xml,348,Ich dank dir lieber Herre
034900b_.xml,349,Ach Herre Gott mich treibt die Not
035000b_.xml,350,Mein Hüter und mein Hirt ist Gott der Herre
035100b_.xml,351,Ich hab mein Sach Gott heimgestellt
035200b_.xml,352,Wachet doch erwacht ihr Schläfer
035300b_.xml,353,Wachet doch erwacht ihr Schläfer
035400b_.xml,354,Wachet doch erwacht ihr Schläfer
035500b_.xml,355,Jesu der du selbsten wohl
035600b_.xml,356,Jesu du mein liebstes Leben
035700b_.xml,357,Jesu Jesu du bist mein
035800b_.xml,358,Jesu meine Freude
035900b_.xml,359,Werde munter mein Gemüte
036000b_.xml,360,Werde munter mein Gemüte
036100b_.xml,361,Jesu meines Herzens Freud'
036200b_.xml,362,Jesu nun sei gepreiset
036300b_.xml,363,Jesus Christus unser Heiland der von uns den Gottes Zorn wandt
036400b_.xml,364,Jesus Christus unser Heiland der den Tod überwandt
036500b_.xml,365,Jesus meine Zuversicht
036600b_.xml,366,Ihr Gestirn ihr hohen Lüfte
036700b_.xml,367,In allen meinen Taten
036800b_.xml,368,In dulci jubilo
036900b_.xml,369,Keinen hat Gott verlassen
037000b_.xml,370,Komm Gott Schöpfer heiliger Geist
037100b_.xml,371,Kyrie Gott Vater in Ewigkeit
037200b_.xml,372,Herr dein Ohren zu mir neige
037300b_.xml,373,Liebster Jesu wir sind hier
037400b_.xml,374,Lobet den Herren denn er ist sehr freundlich
037500b_.xml,375,Kommt her ihr lieben Schwesterlein
037600b_.xml,376,Kommt her ihr lieben Schwesterlein
037700b_.xml,377,Mach's mit mir Gott nach deiner Güt
037800b_.xml,378,Meine Augen schließ ich jetzt in Gottes Namen zu
037900b_.xml,379,Jesus ist mein Aufenthalt
038000b_.xml,380,Meinen Jesum laß ich nicht
038100b_.xml,381,Meines Lebens letzte Zeit
038200b_.xml,382,Mit Fried und Freud ich fahr dahin
038300b_.xml,383,Mitten wir im Leben sind
038400b_.xml,384,Nicht so traurig nicht so sehr
038500b_.xml,385,Nun bitten wir den heiligen Geist
038600b_.xml,386,Nun danket alle Gott
038700b_.xml,387,Ihr lieben Christen freut euch nun
038800b_.xml,388,Nun freut euch lieben Christen g'mein 1
038900b_.xml,389,Nun lob mein Seel den Herren
039000b_.xml,390,Nun lob mein Seel den Herren
039100b_.xml,391,Nun preiset alle Gottes Barmherzigkeit
039200b_.xml,392,Nun ruhen alle Wälder
039300b_.xml,393,O Welt ich muß dich lassen
039400b_.xml,394,O Welt ich muß dich lassen
039500b_.xml,395,O Welt ich muß dich lassen
039600b_.xml,396,Nun sich der Tag geendet hat
039700b_.xml,397,O Ewigkeit du Donnerwort
039800b_.xml,398,Die Wollust dieser Welt
039900b_.xml,399,O Gott du frommer Gott
040000b_.xml,400,O Herzensangst o Bangigkeit und Zagen
040100b_.xml,401,O Lamm Gottes unschuldig
040200b_.xml,402,Es sind doch selig alle die im rechten Glauben wandeln
040200b_.xml,402,Es sind doch selig alle die im rechten Glauben wandeln
040300b_.xml,403,O Mensch schau Jesum Christum an
040400b_.xml,404,O Traurigkeit o Herzeleid
040500b_.xml,405,O wie selig seid ihr doch ihr Frommen
040600b_.xml,406,Ach wie groß ist Gottes Güt und Wohltat
040700b_.xml,407,O wir armen Sünder
040800b_.xml,408,Schaut ihr Sünder! Ihr macht mir große Pein
040900b_.xml,409,Seelenbräutigam Jesu Gottes Lamm
040900bv.xml,409,Seelenbräutigam Jesu Gottes Lamm
041000b_.xml,410,Sei gegrüßet Jesu gütig
041100b_.xml,411,Singt dem Herrn ein neues Lied
041200b_.xml,412,So gibst du nun mein Jesu gute Nacht
041300b_.xml,413,Lasset uns den Herren preisen
041400b_.xml,414,Danket dem Herrn heuf und allzeit
041500b_.xml,415,Valet will ich dir geben
041600b_.xml,416,Vater unser im Himmelreich
041700b_.xml,417,Von Gott will ich nicht lassen
041800b_.xml,418,Von Gott will ich nicht lassen
041900b_.xml,419,Von Gott will ich nicht lassen
042000b_.xml,420,Warum betrübst du dich mein Herz
042100b_.xml,421,Warum betrübst du dich mein Herz
042200b_.xml,422,Warum sollt ich mich denn grämen
042300b_.xml,423,Was betrübst du dich mein Herze
042400b_.xml,424,Was bist du doch o Seele so betrübet
042500b_.xml,425,Was willst du dich o meine Seele kränken
042600b_.xml,426,Weltlich Ehr und zeitlich Gut
042700b_.xml,427,Wenn ich in Angst und Not mein' Augen heb empor
042800b_.xml,428,Wenn mein Stündlein vorhanden ist 1
042900b_.xml,429,Wenn mein Stündlein vorhanden ist 1
043000b_.xml,430,Wenn mein Stündlein vorhanden ist 1
043100b_.xml,431,Wenn wir in höchsten Nöten sein
043200b_.xml,432,Wenn wir in höchsten Nöten sein
043300b_.xml,433,Wer Gott vertraut hat wohl gebaut
043400b_.xml,434,Wer nur den lieben Gott läßt walten
043500b_.xml,435,Wie bist du Seele in mir so gar betrübt
043600b_.xml,436,Wie schön leuchtet der Morgenstern
043700b_.xml,437,Wir glauben all an einen Gott Schöpfer Himmels und der Erden
043800b_.xml,438,Wo Gott zum Haus nicht gibt sein Gunst
